Job Title, Zip Code, Number of Jobs
2018-07-16,retail,"91503",20951
2018-07-16,retail,"28137",1231
2018-07-16,retail,"07765",9101
2018-07-16,retail,"22041",14799
2018-07-16,retail,"03801",1901
2018-07-16,retail,"76123",7816
2018-07-16,retail,"20744",12501
2018-07-16,retail,"90304",22529
2018-07-16,retail,"76389",380
2018-07-16,retail,"43778",202
2018-07-16,retail,"52156",136
2018-07-16,retail,"93066",3375
2018-07-16,retail,"73627",91
2018-07-16,retail,"29336",3282
2018-07-16,retail,"49870",75
2018-07-16,retail,"92701",17629
2018-07-16,retail,"43512",320
2018-07-16,retail,"94261",5184
2018-07-16,retail,"77327",576
2018-07-16,retail,"74825",130
2018-07-16,retail,"22040",15059
2018-07-16,retail,"05363",357
2018-07-16,retail,"91502",21138
2018-07-16,retail,"28138",1992
2018-07-16,retail,"91768",14669
2018-07-16,retail,"38826",429
2018-07-16,retail,"20743",14848
2018-07-16,retail,"95460",41
2018-07-16,retail,"54552",44
2018-07-16,retail,"76122",10356
2018-07-16,retail,"76388",25
2018-07-16,retail,"52157",126
2018-07-16,retail,"93065",6925
2018-07-16,retail,"73628",64
2018-07-16,retail,"43777",616
2018-07-16,retail,"90305",23529
2018-07-16,retail,"29335",1578
2018-07-16,retail,"43511",965
2018-07-16,retail,"49871",163
2018-07-16,retail,"12450",483
2018-07-16,retail,"94262",5186
2018-07-16,retail,"28139",596
2018-07-16,retail,"36426",203
2018-07-16,retail,"50857",89
2018-07-16,retail,"83210",218
2018-07-16,retail,"93060",2387
2018-07-16,retail,"91763",12567
2018-07-16,retail,"52154",126
2018-07-16,retail,"29338",3193
2018-07-16,retail,"46277",7130
2018-07-16,retail,"76129",8848
2018-07-16,retail,"60441",12254
2018-07-16,retail,"77320",219
2018-07-16,retail,"12451",646
2018-07-16,retail,"77586",9639
2018-07-16,retail,"83211",12
2018-07-16,retail,"38824",444
2018-07-16,retail,"07760",16574
2018-07-16,retail,"50858",105
2018-07-16,retail,"54550",36
2018-07-16,retail,"13650",305
2018-07-16,retail,"44714",2951
2018-07-16,retail,"52155",68
2018-07-16,retail,"78785",7758
2018-07-16,retail,"91762",12109
2018-07-16,retail,"39189",129
2018-07-16,retail,"43779",201
2018-07-16,retail,"35228",3066
2018-07-16,retail,"60440",19142
2018-07-16,retail,"36425",86
2018-07-16,retail,"12452",141
2018-07-16,retail,"77587",13640
2018-07-16,retail,"77588",12812
2018-07-16,retail,"69039",5
2018-07-16,retail,"91765",21821
2018-07-16,retail,"83212",146
2018-07-16,retail,"44711",2962
2018-07-16,retail,"20740",15167
2018-07-16,retail,"13651",328
2018-07-16,retail,"78520",891
2018-07-16,retail,"03805",1763
2018-07-16,retail,"93062",6943
2018-07-16,retail,"35229",3126
2018-07-16,retail,"76127",8443
2018-07-16,retail,"46275",7125
2018-07-16,retail,"38821",306
2018-07-16,retail,"12453",700
2018-07-16,retail,"14850",424
2018-07-16,retail,"43516",650
2018-07-16,retail,"69038",26
2018-07-16,retail,"83213",3
2018-07-16,retail,"36427",101
2018-07-16,retail,"91764",10446
2018-07-16,retail,"07762",3740
2018-07-16,retail,"74829",156
2018-07-16,retail,"48670",978
2018-07-16,retail,"05101",371
2018-07-16,retail,"13652",132
2018-07-16,retail,"78521",838
2018-07-16,retail,"03804",1784
2018-07-16,retail,"68939",26
2018-07-16,retail,"93061",2456
2018-07-16,retail,"76126",4768
2018-07-16,retail,"90301",22971
2018-07-16,retail,"37625",1265
2018-07-16,retail,"46274",6956
2018-07-16,retail,"12454",412
2018-07-16,retail,"43515",2002
2018-07-16,retail,"20738",15416
2018-07-16,retail,"99152",2
2018-07-16,retail,"75185",14008
2018-07-16,retail,"02862",5776
2018-07-16,retail,"94259",5150
